Id,Date,Open,High,Low,Close,Volume
197,10/20/2014,83.25,84.33,82.83,84.18,8558072
198,10/21/2014,84.47,84.64,83.66,84.61,12389590
199,10/22/2014,84.06,84.59,83.92,84.23,9755005
200,10/23/2014,84.26,84.33,82.3,83.23,14292357
201,10/24/2014,85.1,85.97,84.91,85.16,13465590
202,10/27/2014,84.96,86.48,84.83,85.95,10316563
203,10/28/2014,86.2,86.65,86.17,86.47,9444204
204,10/29/2014,86.67,86.67,85.91,86.54,6881448
205,10/30/2014,86.16,87,85.67,86.94,5560308
206,10/31/2014,87.08,87.36,86.71,87.27,9359840
207,11/3/2014,86.66,87.39,86.2,87.38,7782249
208,11/4/2014,87.49,88.87,87.44,88.64,10594790
209,11/5/2014,88.74,89.49,88.36,89,8462015
210,11/6/2014,89.08,89.2,88.57,88.9,6628881
211,11/7/2014,88.74,89.2,88.25,89.13,5975737
212,11/10/2014,88.92,89.5,88.26,89.45,5927052
213,11/11/2014,89.38,89.79,89.17,89.67,6346785
214,11/12/2014,89.6,89.88,89.42,89.48,6298672
215,11/13/2014,88.94,89.84,88.46,88.6,10191559
216,11/14/2014,88.7,88.89,87.93,88.11,7559371
217,11/17/2014,88,88.18,87.37,87.84,9475799
218,11/18/2014,88.02,88.18,87.49,87.95,6419641
219,11/19/2014,88.24,88.87,87.93,88.73,6570396
220,11/20/2014,88.33,88.8,88.33,88.47,5527565
221,11/21/2014,89.26,89.43,88.46,88.6,8984113
222,11/24/2014,88.88,88.89,87.86,88.11,5569245
223,11/25/2014,88.36,88.82,88.08,88.8,6439699
224,11/26/2014,88.83,88.88,88.45,88.88,4419983
225,11/28/2014,89.09,90.56,88.97,90.43,7661778
226,12/1/2014,90.17,90.67,89.52,90.08,6745137
227,12/2/2014,90.44,91.17,90.12,91.07,7432863
228,12/3/2014,90.84,90.97,89.64,90,6465627
229,12/4/2014,90.5,90.94,90.1,90.58,6410706
230,12/5/2014,90.32,90.42,89.21,90.38,6383401
231,12/8/2014,90.34,91,90.32,90.76,4723879
232,12/9/2014,90.47,90.78,89.87,90.71,5703953
233,12/10/2014,90.95,91.1,89.96,90,6293332
234,12/11/2014,90,91.28,89.98,90.41,6468676
235,12/12/2014,90.01,90.97,89.53,89.55,6574629
236,12/15/2014,89.7,90.6,89.03,89.2,6511895
237,12/16/2014,89.14,90.96,88.38,89.36,8776495
238,12/17/2014,89.56,91.16,89.4,90.7,7415365
239,12/18/2014,91.01,92,90.55,92,8724454
240,12/19/2014,92.15,92.73,91.76,92.05,14037813
241,12/22/2014,92.1,92.73,92,92.6,7157130
242,12/23/2014,92.74,93.48,92.7,93.29,5610590
243,12/24/2014,93.5,93.89,93.14,93.14,2408140
244,12/26/2014,93.15,93.81,93.06,93.46,3148746
245,12/29/2014,93.12,93.43,92.5,92.64,4657706
246,12/30/2014,92.25,92.82,92.1,92.4,4730012
247,12/31/2014,92.04,92.55,91.03,91.09,5712139
248,1/2/2015,90.84,91,89.92,90.44,7255494
249,1/5/2015,90.23,91,89.85,90.01,8626143
250,1/6/2015,90.31,90.56,89.26,89.6,7791195
251,1/7/2015,89.94,90.37,89.56,90.07,5986899
252,1/8/2015,90.48,91.22,90.13,91.1,6831617
253,1/9/2015,91.18,91.18,90.12,90.25,4873097
254,1/12/2015,90.48,90.62,89.5,89.92,5250893
255,1/13/2015,90.78,91.5,89.77,90.3,6730752
256,1/14/2015,89.73,90.16,89.43,89.99,6418158
257,1/15/2015,90.49,90.5,89.34,89.86,6768180
258,1/16/2015,89.95,91.34,89.87,91.25,8815713
259,1/20/2015,91.25,91.79,90.5,91.19,9874638
260,1/21/2015,90.4,91.19,89.63,90.73,6974533
261,1/22/2015,91.04,91.69,89.87,91.62,7211231
262,1/23/2015,91.17,91.19,89.95,90.08,6745741
263,1/26/2015,89.95,89.95,88.74,89.58,9371693
264,1/27/2015,87.1,87.21,86.02,86.49,14417363
265,1/28/2015,86.63,86.91,85.01,85.15,14033420
266,1/29/2015,85.78,86.11,85.15,85.67,12054601
267,1/30/2015,85.09,85.22,84.25,84.29,14685250
268,2/2/2015,84.58,85.14,83.68,85.12,10278739
269,2/3/2015,85.95,86,85.12,85.95,10747897
270,2/4/2015,85.89,86.48,85.55,85.79,9212785
271,2/5/2015,86.24,86.78,86.1,86.7,6531298
272,2/6/2015,86.56,86.61,85.15,85.61,8429773
273,2/9/2015,85.31,85.43,84.59,85.05,8811512
274,2/10/2015,85.33,85.57,84.82,85.39,7059632
275,2/11/2015,85.95,86.2,85.14,85.64,7184577
276,2/12/2015,86.06,86.15,85.41,86.03,6074566
277,2/13/2015,86.03,86.15,85.5,85.9,6272049
278,2/17/2015,86.06,86.06,85,85.49,10310422
279,2/18/2015,85.76,86.39,85.52,86.26,8132286
280,2/19/2015,86.11,86.3,85.05,85.21,7271618
281,2/20/2015,84.95,85.05,84.19,84.87,9581338
282,2/23/2015,84.96,85.5,84.65,85.39,7919155
283,2/24/2015,85.51,85.74,85.01,85.5,6502170
284,2/25/2015,85.7,85.8,85.24,85.46,5975834
285,2/26/2015,85.42,85.76,84.89,85.17,7964477
286,2/27/2015,85.02,85.38,84.57,85.13,7685024
287,3/2/2015,85.02,85.41,84.84,85.41,7235172
288,3/3/2015,85.35,85.44,84.54,85.16,6095591
289,3/4/2015,85.04,85.24,84.21,84.35,7369986
290,3/5/2015,84.62,84.76,84.09,84.63,5914196
291,3/6/2015,84.34,84.37,82.37,82.66,11338662
292,3/9/2015,82.79,83.21,82.68,83.09,7326705
293,3/10/2015,82.47,82.88,81.54,81.54,9681416
294,3/11/2015,81.53,81.78,80.81,81.39,10066594
295,3/12/2015,81.59,82.12,81.51,82.09,6951122
296,3/13/2015,81.98,82.28,81.15,81.83,7492548
297,3/16/2015,82.08,83.95,81.99,83.56,15618256
298,3/17/2015,83.36,83.37,82.43,82.85,7509338
299,3/18/2015,82.86,84.05,82.02,83.75,12607899
300,3/19/2015,83.46,83.75,83.12,83.38,9257503
301,3/20/2015,83.99,84.79,83.77,84.74,22580280
302,3/23/2015,84.37,85.05,84.36,84.86,9891106
303,3/24/2015,84.89,85.11,83.87,83.92,7478791
304,3/25/2015,84.37,84.37,82.86,83.01,8482161
305,3/26/2015,82.58,82.61,81.95,82.15,7311649
306,3/27/2015,82.08,82.54,81.99,82.31,6441403
307,3/30/2015,82.63,82.95,82.15,82.72,6416848
308,3/31/2015,82.76,82.93,81.94,81.94,8649658
309,4/1/2015,82.44,82.45,81.45,82.32,7395287
310,4/2/2015,82.17,82.59,81.92,82.43,6169838
311,4/6/2015,81.92,83.22,81.51,83.04,6856344
312,4/7/2015,82.93,83.29,82.33,82.39,6330163
313,4/8/2015,82.3,83.18,82.27,82.77,6523404
314,4/9/2015,82.63,82.95,82.01,82.89,6184986
315,4/10/2015,82.8,83.63,82.72,83.35,7001674
316,4/13/2015,83,83.95,82.94,83.43,8290458
317,4/14/2015,83.39,83.88,83.05,83.6,6792597
318,4/15/2015,83.85,84.2,83.48,83.51,7006392
319,4/16/2015,83.56,84.07,83.35,83.5,7615906
320,4/17/2015,83,83.22,82.03,82.53,9533805
321,4/20/2015,83.09,83.98,82.8,82.87,7415988
322,4/21/2015,83.39,83.8,82.9,83.08,7696424
323,4/22/2015,83.22,83.34,82.6,83.09,6753101
324,4/23/2015,81.42,82.1,80.9,80.95,14569488
325,4/24/2015,81.04,81.53,80.9,81,8785471
